lr-AdamW,step,valid/recon/sess0,valid/loss,valid/recon,valid/bps,valid/co_bps,valid/fp_bps,valid/r2,valid/wt_l2,valid/wt_l2/ramp,valid/wt_kl,valid/wt_kl/ic,valid/wt_kl/co,valid/wt_kl/ramp,valid/recon_smth,hp_metric,cur_epoch,hp/lr_init,hp/dropout_rate,hp/l2_ic_enc_scale,hp/l2_ci_enc_scale,hp/l2_gen_scale,hp/l2_con_scale,hp/kl_co_scale,hp/kl_ic_scale,hp/weight_decay,hp/cd_rate,epoch,train/recon/sess0,train/loss,train/recon,train/bps,train/co_bps,train/fp_bps,train/r2,train/wt_l2,train/wt_l2/ramp,train/wt_kl,train/wt_kl/ic,train/wt_kl/co,train/wt_kl/ramp
0.01,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,26,0.09252019971609116,925.201904296875,0.09252019971609116,-0.1955227255821228,-0.20415936410427094,-0.19549435377120972,nan,0.0,0.1111111119389534,0.0,0.0,0.0,0.1111111119389534,0.09315929561853409,0.09252019971609116,8.0,0.009999999776482582,0.019999999552965164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30000001192092896,8,,,,,,,,,,,,,
,26,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0.09390612691640854,939.0612182617188,0.09390612691640854,-0.306555837392807,-0.2623901665210724,-0.23358596861362457,nan,0.0,0.1111111119389534,0.0,0.0,0.0,0.1111111119389534
0.01,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,29,0.09136234223842621,913.6234130859375,0.09136234223842621,-0.12271170318126678,-0.08635556697845459,-0.11666553467512131,nan,0.0,0.12345678359270096,0.0,0.0,0.0,0.12345678359270096,0.09190142899751663,0.09136234223842621,9.0,0.009999999776482582,0.019999999552965164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30000001192092896,9,,,,,,,,,,,,,
,29,,,,,,,,,,,,,,,,,,,,,,,,,,,10,0.09165769070386887,916.576904296875,0.09165769070386887,-0.1346348077058792,-0.1181798204779625,-0.12471769005060196,nan,0.0,0.12345679849386215,0.0,0.0,0.0,0.12345679849386215
0.01,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,32,0.0910017266869545,910.0172729492188,0.0910017266869545,-0.0934656485915184,-0.07662110030651093,-0.08439532667398453,nan,0.0,0.1358024626970291,0.0,0.0,0.0,0.1358024626970291,0.09127163887023926,0.0910017266869545,10.0,0.009999999776482582,0.019999999552965164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30000001192092896,10,,,,,,,,,,,,,
,32,,,,,,,,,,,,,,,,,,,,,,,,,,,11,0.09113475680351257,911.3474731445312,0.09113475680351257,-0.09716812521219254,-0.07190444320440292,-0.08027718961238861,nan,0.0,0.1358024626970291,0.0,0.0,0.0,0.1358024626970291
0.01,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,35,0.09049923717975616,904.9923706054688,0.09049923717975616,-0.0535576157271862,-0.03826529160141945,-0.06055501475930214,nan,0.0,0.14814814925193787,0.0,0.0,0.0,0.14814814925193787,0.09073095768690109,0.09049923717975616,11.0,0.009999999776482582,0.019999999552965164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30000001192092896,11,,,,,,,,,,,,,
,35,,,,,,,,,,,,,,,,,,,,,,,,,,,12,0.09109433740377426,910.943359375,0.09109433740377426,-0.07860499620437622,-0.05878517031669617,-0.06221457198262215,nan,0.0,0.14814814925193787,0.0,0.0,0.0,0.14814814925193787
0.01,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,38,0.09042482078075409,904.248291015625,0.09042482078075409,-0.0476435162127018,-0.04826528578996658,-0.04311711713671684,nan,0.0,0.16049382090568542,0.0,0.0,0.0,0.16049382090568542,0.09051666408777237,0.09042482078075409,12.0,0.009999999776482582,0.019999999552965164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30000001192092896,12,,,,,,,,,,,,,
,38,,,,,,,,,,,,,,,,,,,,,,,,,,,13,0.09028154611587524,902.8154907226562,0.09028154611587524,-0.05546719953417778,-0.04636101424694061,-0.046026770025491714,nan,0.0,0.16049382090568542,0.0,0.0,0.0,0.16049382090568542
0.01,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,41,0.08991871029138565,899.1871337890625,0.08991871029138565,-0.007287590764462948,-0.008516640402376652,-0.01948479935526848,nan,0.0,0.17283950746059418,0.0,0.0,0.0,0.17283950746059418,0.09009809792041779,0.08991871029138565,13.0,0.009999999776482582,0.019999999552965164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30000001192092896,13,,,,,,,,,,,,,
,41,,,,,,,,,,,,,,,,,,,,,,,,,,,14,0.09078043699264526,907.8043823242188,0.09078043699264526,-0.044820163398981094,-0.03899494931101799,-0.04045894369482994,nan,0.0,0.17283950746059418,0.0,0.0,0.0,0.17283950746059418
0.01,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,44,0.08971337229013443,897.1337280273438,0.08971337229013443,0.009161056019365788,0.00752769410610199,-0.008557736873626709,nan,0.0,0.18518517911434174,0.0,0.0,0.0,0.18518517911434174,0.08982878923416138,0.08971337229013443,14.0,0.009999999776482582,0.019999999552965164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30000001192092896,14,,,,,,,,,,,,,
,44,,,,,,,,,,,,,,,,,,,,,,,,,,,15,0.0902094841003418,902.0947875976562,0.0902094841003418,-0.022982170805335045,-0.02054891176521778,-0.021463705226778984,nan,0.0,0.18518517911434174,0.0,0.0,0.0,0.18518517911434174
0.01,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,47,0.08943144977092743,894.3145141601562,0.08943144977092743,0.028551870957016945,0.035257719457149506,0.007433405611664057,nan,0.0,0.1975308656692505,0.0,0.0,0.0,0.1975308656692505,0.08955065160989761,0.08943144977092743,15.0,0.009999999776482582,0.019999999552965164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30000001192092896,15,,,,,,,,,,,,,
,47,,,,,,,,,,,,,,,,,,,,,,,,,,,16,0.08997448533773422,899.7448120117188,0.08997448533773422,-0.004936907906085253,0.00011216414713999256,-0.012672468088567257,nan,0.0,0.1975308656692505,0.0,0.0,0.0,0.1975308656692505
0.01,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,50,0.08927419036626816,892.7418212890625,0.08927419036626816,0.04582064971327782,0.04397677257657051,0.007667565252631903,nan,0.0,0.20987653732299805,0.0,0.0,0.0,0.20987653732299805,0.08935713022947311,0.08927419036626816,16.0,0.009999999776482582,0.019999999552965164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30000001192092896,16,,,,,,,,,,,,,
,50,,,,,,,,,,,,,,,,,,,,,,,,,,,17,0.08980541676282883,898.0540161132812,0.08980541676282883,0.007699999958276749,0.01868312992155552,-0.00355523475445807,nan,0.0,0.20987653732299805,0.0,0.0,0.0,0.20987653732299805
0.01,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,53,0.08907990157604218,890.7990112304688,0.08907990157604218,0.06274615973234177,0.05748438090085983,0.01514702569693327,nan,0.0,0.2222222238779068,0.0,0.0,0.0,0.2222222238779068,0.08916307240724564,0.08907990157604218,17.0,0.009999999776482582,0.019999999552965164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30000001192092896,17,,,,,,,,,,,,,
,53,,,,,,,,,,,,,,,,,,,,,,,,,,,18,0.08982642740011215,898.2642211914062,0.08982642740011215,0.020585695281624794,0.028887713328003883,-0.004306389018893242,nan,0.0,0.2222222238779068,0.0,0.0,0.0,0.2222222238779068
0.01,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,56,0.0889456644654274,889.4566040039062,0.0889456644654274,0.07100895047187805,0.07119783014059067,0.024577289819717407,nan,0.0,0.23456789553165436,0.0,0.0,0.0,0.23456789553165436,0.08901088684797287,0.0889456644654274,18.0,0.009999999776482582,0.019999999552965164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30000001192092896,18,,,,,,,,,,,,,
,56,,,,,,,,,,,,,,,,,,,,,,,,,,,19,0.08947648853063583,894.764892578125,0.08947648853063583,0.0324614942073822,0.03695780038833618,0.004802289884537458,nan,0.0,0.23456789553165436,0.0,0.0,0.0,0.23456789553165436
0.01,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,59,0.08883323520421982,888.3323364257812,0.08883323520421982,0.0812528058886528,0.0771680623292923,0.029348501935601234,nan,0.0,0.24691356718540192,0.0,0.0,0.0,0.24691356718540192,0.08888652920722961,0.08883323520421982,19.0,0.009999999776482582,0.019999999552965164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30000001192092896,19,,,,,,,,,,,,,
,59,,,,,,,,,,,,,,,,,,,,,,,,,,,20,0.08929920941591263,892.9921875,0.08929920941591263,0.045693617314100266,0.04544556513428688,0.006001684814691544,nan,0.0,0.2469135969877243,0.0,0.0,0.0,0.2469135969877243
0.01,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,62,0.08873375505208969,887.3375854492188,0.08873375505208969,0.09086856245994568,0.0841115191578865,0.03109755739569664,nan,0.0,0.25925925374031067,0.0,0.0,0.0,0.25925925374031067,0.08877958357334137,0.08873375505208969,20.0,0.009999999776482582,0.019999999552965164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30000001192092896,20,,,,,,,,,,,,,
,62,,,,,,,,,,,,,,,,,,,,,,,,,,,21,0.08950672298669815,895.0673217773438,0.08950672298669815,0.05395643040537834,0.05416730418801308,0.016107996925711632,nan,0.0,0.25925925374031067,0.0,0.0,0.0,0.25925925374031067
0.01,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,65,0.0886089950799942,886.0899047851562,0.0886089950799942,0.10237414389848709,0.09409934282302856,0.033697813749313354,nan,0.0,0.2716049253940582,0.0,0.0,0.0,0.2716049253940582,0.08866017311811447,0.0886089950799942,21.0,0.009999999776482582,0.019999999552965164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30000001192092896,21,,,,,,,,,,,,,
,65,,,,,,,,,,,,,,,,,,,,,,,,,,,22,0.0892331600189209,892.3316040039062,0.0892331600189209,0.06636594980955124,0.0652194544672966,0.02178952656686306,nan,0.0,0.2716049253940582,0.0,0.0,0.0,0.2716049253940582
0.01,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,68,0.08859439939260483,885.9440307617188,0.08859439939260483,0.1043122410774231,0.09092546999454498,0.03580182418227196,nan,0.0,0.2839506268501282,0.0,0.0,0.0,0.2839506268501282,0.08861412853002548,0.08859439939260483,22.0,0.009999999776482582,0.019999999552965164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30000001192092896,22,,,,,,,,,,,,,
,68,,,,,,,,,,,,,,,,,,,,,,,,,,,23,0.08916977047920227,891.69775390625,0.08916977047920227,0.0769011601805687,0.07643599063158035,0.023348219692707062,nan,0.0,0.2839506268501282,0.0,0.0,0.0,0.2839506268501282
0.01,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,71,0.08848850429058075,884.885009765625,0.08848850429058075,0.1141214594244957,0.09910186380147934,0.03799523785710335,nan,0.0,0.29629629850387573,0.0,0.0,0.0,0.29629629850387573,0.08852618932723999,0.08848850429058075,23.0,0.009999999776482582,0.019999999552965164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30000001192092896,23,,,,,,,,,,,,,
,71,,,,,,,,,,,,,,,,,,,,,,,,,,,24,0.08922787755727768,892.27880859375,0.08922787755727768,0.07810473442077637,0.07323819398880005,0.023448994383215904,nan,0.0,0.29629629850387573,0.0,0.0,0.0,0.29629629850387573
0.01,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,74,0.08840754628181458,884.075439453125,0.08840754628181458,0.12097229063510895,0.1020960658788681,0.04350908100605011,nan,0.0,0.3086419701576233,0.0,0.0,0.0,0.3086419701576233,0.08844313770532608,0.08840754628181458,24.0,0.009999999776482582,0.019999999552965164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30000001192092896,24,,,,,,,,,,,,,
,74,,,,,,,,,,,,,,,,,,,,,,,,,,,25,0.08900537341833115,890.0537109375,0.08900537341833115,0.08507204800844193,0.07928553968667984,0.03512759134173393,nan,0.0,0.3086419701576233,0.0,0.0,0.0,0.3086419701576233
0.01,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,77,0.08833334594964981,883.3334350585938,0.08833334594964981,0.1274479776620865,0.10883160680532455,0.0451522022485733,nan,0.0,0.32098764181137085,0.0,0.0,0.0,0.32098764181137085,0.08836628496646881,0.08833334594964981,25.0,0.009999999776482582,0.019999999552965164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30000001192092896,25,,,,,,,,,,,,,
,77,,,,,,,,,,,,,,,,,,,,,,,,,,,26,0.0888579711318016,888.57958984375,0.0888579711318016,0.0963454619050026,0.08854345232248306,0.036193687468767166,nan,0.0,0.32098764181137085,0.0,0.0,0.0,0.32098764181137085
0.01,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,80,0.08825486898422241,882.5487060546875,0.08825486898422241,0.13525106012821198,0.11165933310985565,0.04793526232242584,nan,0.0,0.3333333432674408,0.0,0.0,0.0,0.3333333432674408,0.08828829228878021,0.08825486898422241,26.0,0.009999999776482582,0.019999999552965164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30000001192092896,26,,,,,,,,,,,,,
,80,,,,,,,,,,,,,,,,,,,,,,,,,,,27,0.08873500674962997,887.3499145507812,0.08873500674962997,0.10298969596624374,0.09248912334442139,0.04153074324131012,nan,0.0,0.3333333432674408,0.0,0.0,0.0,0.3333333432674408
0.01,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,83,0.08830413967370987,883.0413818359375,0.08830413967370987,0.13123346865177155,0.10850562900304794,0.045411963015794754,nan,0.0,0.34567901492118835,0.0,0.0,0.0,0.34567901492118835,0.08829938620328903,0.08830413967370987,27.0,0.009999999776482582,0.019999999552965164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30000001192092896,27,,,,,,,,,,,,,
,83,,,,,,,,,,,,,,,,,,,,,,,,,,,28,0.08848602324724197,884.8602905273438,0.08848602324724197,0.10884985327720642,0.09582233428955078,0.04541095718741417,nan,0.0,0.34567901492118835,0.0,0.0,0.0,0.34567901492118835
0.01,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,86,0.08816996216773987,881.6995849609375,0.08816996216773987,0.14304322004318237,0.11906304210424423,0.049389712512493134,nan,0.0,0.3580246865749359,0.0,0.0,0.0,0.3580246865749359,0.08820879459381104,0.08816996216773987,28.0,0.009999999776482582,0.019999999552965164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30000001192092896,28,,,,,,,,,,,,,
,86,,,,,,,,,,,,,,,,,,,,,,,,,,,29,0.08883418887853622,888.3418579101562,0.08883418887853622,0.10427530854940414,0.09403979033231735,0.03915714845061302,nan,0.0,0.3580246865749359,0.0,0.0,0.0,0.3580246865749359
0.01,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,89,0.08812979608774185,881.2979125976562,0.08812979608774185,0.14575594663619995,0.11685750633478165,0.05622728914022446,nan,0.0,0.37037035822868347,0.0,0.0,0.0,0.37037035822868347,0.08815349638462067,0.08812979608774185,29.0,0.009999999776482582,0.019999999552965164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30000001192092896,29,,,,,,,,,,,,,
,89,,,,,,,,,,,,,,,,,,,,,,,,,,,30,0.08875581622123718,887.5581665039062,0.08875581622123718,0.10724606364965439,0.09623684734106064,0.03980720043182373,nan,0.0,0.37037035822868347,0.0,0.0,0.0,0.37037035822868347
0.01,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,92,0.08817914128303528,881.7914428710938,0.08817914128303528,0.14133009314537048,0.12121187895536423,0.04921850562095642,nan,0.0,0.3827160596847534,0.0,0.0,0.0,0.3827160596847534,0.08817144483327866,0.08817914128303528,30.0,0.009999999776482582,0.019999999552965164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30000001192092896,30,,,,,,,,,,,,,
,92,,,,,,,,,,,,,,,,,,,,,,,,,,,31,0.08892848342657089,889.2848510742188,0.08892848342657089,0.10788219422101974,0.1009422242641449,0.04234945401549339,nan,0.0,0.3827160596847534,0.0,0.0,0.0,0.3827160596847534
0.01,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,95,0.08834333717823029,883.433349609375,0.08834333717823029,0.13192933797836304,0.09247159957885742,0.04460885748267174,nan,0.0,0.395061731338501,0.0,0.0,0.0,0.395061731338501,0.08829177170991898,0.08834333717823029,31.0,0.009999999776482582,0.019999999552965164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30000001192092896,31,,,,,,,,,,,,,
,95,,,,,,,,,,,,,,,,,,,,,,,,,,,32,0.08840838819742203,884.083984375,0.08840838819742203,0.11402071267366409,0.09946712106466293,0.05300191044807434,nan,0.0,0.395061731338501,0.0,0.0,0.0,0.395061731338501
0.01,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,98,0.08807991445064545,880.799072265625,0.08807991445064545,0.15263795852661133,0.12124810367822647,0.05201296880841255,nan,0.0,0.40740740299224854,0.0,0.0,0.0,0.40740740299224854,0.08814346790313721,0.08807991445064545,32.0,0.009999999776482582,0.019999999552965164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30000001192092896,32,,,,,,,,,,,,,
,98,,,,,,,,,,,,,,,,,,,,,,,,,,,33,0.08849022537469864,884.9022827148438,0.08849022537469864,0.12115496397018433,0.09988659620285034,0.053264472633600235,nan,0.0,0.40740740299224854,0.0,0.0,0.0,0.40740740299224854
0.01,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,101,0.08794126659631729,879.4126586914062,0.08794126659631729,0.16286735236644745,0.12868370115756989,0.06300468742847443,nan,0.0,0.4197530746459961,0.0,0.0,0.0,0.4197530746459961,0.08800192922353745,0.08794126659631729,33.0,0.009999999776482582,0.019999999552965164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30000001192092896,33,,,,,,,,,,,,,
,101,,,,,,,,,,,,,,,,,,,,,,,,,,,34,0.08842172473669052,884.21728515625,0.08842172473669052,0.12677504122257233,0.1116943359375,0.056809619069099426,nan,0.0,0.4197530746459961,0.0,0.0,0.0,0.4197530746459961
0.01,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,104,0.08793182671070099,879.3182983398438,0.08793182671070099,0.16469961404800415,0.12868276238441467,0.061527006328105927,nan,0.0,0.43209877610206604,0.0,0.0,0.0,0.43209877610206604,0.0879528596997261,0.08793182671070099,34.0,0.009999999776482582,0.019999999552965164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30000001192092896,34,,,,,,,,,,,,,
,104,,,,,,,,,,,,,,,,,,,,,,,,,,,35,0.08821830153465271,882.1830444335938,0.08821830153465271,0.13449355959892273,0.11350100487470627,0.06313466280698776,nan,0.0,0.43209877610206604,0.0,0.0,0.0,0.43209877610206604
0.01,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
